POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Ov,Wkts,BBI,Econ,4w,5w
1,ViratKohli,177,169,26.0,5412,113,37.84,4112.0,131.61,5.0,36.0,480.0,190.0,,,,,,
2,Suresh Raina,193,189,28.0,5368,100*,33.34,3914.0,137.14,1.0,38.0,493.0,194.0,,,,,,
3,Rohit Sharma,188,183,28.0,4898,109*,31.6,3744.0,130.82,1.0,36.0,431.0,194.0,,,,,,
4,David Warner,126,126,17.0,4706,126,43.17,3305.0,142.39,4.0,44.0,458.0,181.0,,,,,,
5,Shikhar Dhawan,159,158,21.0,4579,97*,33.42,3669.0,124.8,0.0,37.0,524.0,96.0,,,,,,
6,Chris Gayle,125,124,15.0,4484,175*,41.13,2969.0,151.02,6.0,28.0,369.0,326.0,,,,,,
7,MS Dhoni,190,170,65.0,4432,84*,42.2,3215.0,137.85,0.0,23.0,297.0,209.0,,,,,,
8,Robin Uthappa,177,170,17.0,4411,87,28.83,3380.0,130.5,0.0,24.0,435.0,156.0,,,,,,
9,AB de Villiers,154,142,32.0,4395,133*,39.95,2906.0,151.23,3.0,33.0,357.0,212.0,,,,,,
10,Gautam Gambhir,154,152,17.0,4217,93,31.23,3404.0,123.88,0.0,36.0,491.0,59.0,,,,,,
11,Ajinkya Rahane,140,132,16.0,3820,105*,32.93,3133.0,121.92,2.0,27.0,404.0,74.0,,,,,,
12,Dinesh Karthik,182,163,28.0,3654,97*,27.06,2815.0,129.8,0.0,18.0,357.0,101.0,,,,,,
13,Shane Watson,134,130,15.0,3575,117*,31.08,2562.0,139.53,4.0,19.0,343.0,177.0,,,,,,
14,Ambati Rayudu,147,140,25.0,3300,100*,28.69,2620.0,125.95,1.0,18.0,278.0,120.0,,,,,,
15,Yusuf Pathan,174,154,44.0,3204,100,29.12,2241.0,142.97,1.0,13.0,262.0,158.0,,,,,,
16,Brendon McCullum,109,109,5.0,2880,158*,27.69,2186.0,131.74,2.0,13.0,293.0,130.0,,,,,,
17,Parthiv Patel,139,137,11.0,2848,81,22.6,2358.0,120.78,0.0,13.0,365.0,49.0,,,,,,
18,Manish Pandey,130,120,23.0,2843,114*,29.3,2353.0,120.82,1.0,15.0,253.0,75.0,,,,,,
19,Kieron Pollard,148,135,39.0,2755,83,28.69,1877.0,146.77,0.0,14.0,181.0,176.0,,,,,,
20,Yuvraj Singh,132,126,15.0,2750,83,24.77,2120.0,129.71,0.0,13.0,217.0,149.0,,,,,,
21,Virender Sehwag,104,104,5.0,2728,122,27.55,1755.0,155.44,2.0,16.0,334.0,106.0,,,,,,
22,Murali Vijay,103,103,5.0,2587,127,26.39,2106.0,122.83,2.0,13.0,243.0,91.0,,,,,,
23,Shaun Marsh,71,69,7.0,2477,115,39.95,1866.0,132.74,1.0,20.0,266.0,78.0,,,,,,
